,positive
1641,"['rt @sonic_hedgehog: the difference is night and day. happy 13th anniversary, sonic unleashed! https://t.co/9ki5fiz7eo']"
1642,['thank god it’s the bye week so i can feel happy on a sunday again']
1643,"['rt @h2kbi: happy bday kuroo, you better wake up soon :d #黒尾鉄朗生誕祭2020 #黒尾鉄朗誕生祭2020 https://t.co/lmvjkonscp']"
1644,['rt @silkangelo: happy birthday to me🌹 https://t.co/jse05tqxph']
1645,['right in front of my window. happy thursday to all.🥰😎🍁🍂 https://t.co/ty1or4ogae']
1646,['rt @bacous_: @guiistan_ happy mood ❤️ https://t.co/awm1tfb7kl']
1647,['rt @fcbarcelona: happy days https://t.co/q2irwm0xip']
1648,['rt @kevinabstract: spotify added lyrics wow i am so happy about this thank you spotify']
1649,"['@dante_nebraska ahhh, followers to validate opinions. this app doesn’t empower me bro. im happy it helps you but i… https://t.co/bikrtzsytw']"
1650,"[""@mls_buzz i'm happy 😊 hope they fix peacock 🦚""]"
1651,['rt @klabgpcr: can a #gpcr structure still surprise you? happy to present #cryoem structure of an orphan receptor gpr158. https://t.co/utvlx…']
1652,"[""rt @hidadigital: 5 years of @helmholtz_en-incubator! 🎂we're happy to celebrate that even in a small round of birthday guests😅. shall we res…""]"
1653,"[""i haven't been this happy in so long 😇""]"
1654,"[""never put your hands on a woman, if you're not happy just leave.""]"
1655,['rt @mlbonfox: rt to wish @davidortiz a happy birthday! 🎂 https://t.co/hi8hls99ch']
1656,"[""rt @elliswines: happy beaujolais nouveau day everyone, we hope you're enjoying a glass or two with some great cheese. we will be tucking…""]"
1657,['rt @mlbonfox: rt to wish @davidortiz a happy birthday! 🎂 https://t.co/hi8hls99ch']
1658,['i can’t describe how it touched my heart and made me soooooo happy bgdddd😭😍😍🙏🙏 el7mdullah 🥺😍 https://t.co/0wsjvbkdp7']
1659,['@kennamm4 hey bblove! happy birthday!!!! miss you! 💜💜']
1660,['rt @msaryanaadin: happy titty tuesday 🤸🏾\u200d♀️ https://t.co/6ehlqyrind']
1661,['a man is the person who makes a house the home worth living. let’s celebrate them today. happy international men’… https://t.co/e9tqfwejbs']
1662,"['rt @agentnicolelynn: i want to cry. so happy for #juliusjones ! the fight will continue, but celebrating this win.']"
1663,['rt @gemfindxr: im so happy right now we are live on @bitmartexchange 30/11 🔥🚀🔥🚀🔥🚀🔥🚀🔥🚀💎👏🏻']
1664,['rt @neilhimself: happy thursday. https://t.co/gqqdlj7b61']
1665,['rt @ssstrays: 💓 a happy beginning for anna 💓 nervous girl anna was rescued by milena back in 2018. she was withdrawn and covered in parasi…']
1666,['rt @singhswaiman: happy gurupurab everyone. please join kirti lok at the borders this year. https://t.co/ajt1wr34ar https://t.co/uce3yl43…']
1667,['rt @littlemix: 💖 happy five years of glory days 💖 https://t.co/cmmceodqso https://t.co/pcrjeej7kg']
1668,['rt @steveschmidtses: .@nicolledwallace doing her job is something i’ve been lucky to see up close for almost 25 years. i’m so happy everyon…']
1669,['@amintl_ happy birthday bro']
1670,['he hugged her back. “i’m happy now”']
1671,['@daffywoody happy birthday to mickey mouse!!!']
1672,"['@chrisbelltoken happy birthday, treat yourself with a customizable v-race avatar!']"
1673,['the snowflakes on the light poles in orlando make me so happy https://t.co/wmaigo1h6n']
1674,['rt @miminholee: happy 5th lotbs anniversary! blue sea will always be my home 💙 #leeminho #junjihyun https://t.co/lazkjful6f']
1675,['@meriem_naim happy birthday and best wishes']
1676,"['rt @seffsaid: ""nothing will make you happy until you choose to be happy."" - ralph marston']"
1677,"['rt @redsox: happy birthday, big papi! thankful for all the memories. especially this one. https://t.co/hvh6wl9rxl']"
1678,['idk what people expect from sending this to a random stranger on twitter but happy #transawarenessweek i guess 😂🎉 https://t.co/vqrzkzfeal']
1679,['rt @mizzysboutique: we love happy customers 🥰 in need of something custom? end us and email ✅ https://t.co/csrwy5jrwq for custom orders c…']
1680,['@capehartj happy birthday beautiful!']
1681,"['rt @linda_ezek: @bashirelrufai @davidhundeyin why are you ""loling"" are you happy your mother got vvf? the poor woman.']"
1682,['rt @bizzleosikoya: happy to see this @peterpsquare @rudeboypsquare 🔥🔥🔥🔥🔥 https://t.co/y1fhstthv3']
1683,['i toook note of every mf that b in my phone religiously that didn’t wish me a happy birthday😂 trust']
1684,['rt @thegameawards: happy 20th anniversary to the nintendo gamecube! which is your favorite gamecube game of all time? #thegameawards https…']
1685,"[""rt @u2tour: happy birthday #u2 #achtungbaby30 let's celebrate! we brought the cake 🎂 @meistersaal https://t.co/rkc7gdeyxb""]"
1686,"['@maddison_lacey happy birthday , i hope you have had a wonderful day 😘']"
1687,['#massage_bodytobody #massage_jeddah and happy ending interesting in box 0566853009 https://t.co/rmhjswxiu2']
1688,['rt @boosieofficial: happy gday we turned up last night ‼️‼️‼️ https://t.co/11sqeexucc']
1689,['.@doogietha1 tell my sister-in-law happy anniversary. buy her a fendi bag.']
1690,"['rt @urstrulymahesh: wishing the super talented @musicthaman, a very happy birthday. may your music continue to reach millions! https://t.co…']"
1691,['so happy they’re homies unlike mcnabb and t.o. lol']
1692,['rt @tehotta: come in and get a happy viking yeti ! available in two sizes !! https://t.co/ogin74iieu']
1693,['rt @atedopeterside: happy to announce via video below that @anapfoundation has teamed up with select social influencers across the country…']
1694,"['rt @privateideation: while i am happy to see that @richhomiejuice has survived another year, i think its only appropriate that we offer our…']"
1695,['rt @juliefleshman: happy world pancreatic cancer day! let’s paint the world purple! @pancan #worldpancreaticcancerday https://t.co/k0cpqbbs…']
1696,['rt @abcnetwork: we are all here. happy #nativeamericanhistorymonth. https://t.co/wdlvsbyxa6']
1697,"[""rt @acetrainerliam: if you find newer pokémon games don't make you happy anymore, it's probably worth investing your time in a different fr…""]"
1698,['rt @thesarahkey: happy birthday @goffballz! we grew up together and now we are going to grow old together. 💖 https://t.co/o7fyp7iehn']
1699,"[""@kynerichard i'd be happy with loads 🤠 f foliage and just orange flowers. and lots of roses. obviously.""]"
1700,"['rt @qubismnft: we are happy to announce, that we will host our public sale on pinksale! https://t.co/x3lchyl6fm public sale will start on…']"
1701,['@morryevans very happy to hear it! thank you so much']
1702,['rt @realnumba_2: happy mf birthday cousin i love youuuuu🥳🥳🥳🥳🥳 @tayhiajai']
1703,['rt @sweet__sha: 💛▪︎•°♡good morning wish you a happy day •°▪︎♡🦋 https://t.co/xclorgyopd']
1704,['@squirtz5823 @tsm_albralelie @zachmazer4 big 30 happy birthday fam 🎉']
1705,['rt @tootsiee___: @jnash____ happy birthday best 🤍✨ i love you stupid ass']
1706,['rt @chariowa1: ❤ good morning &amp; happy thursday tweeters!! ❤ https://t.co/v03hykwa4x']
1707,['@servicerotties @td_canada good job kuno &amp; i am sure @td_canada are happy to help &amp; that you gave them a shout out !! 🥇👋👋👋👋']
1708,"['rt @isabeinola: happy 79th birthday marty, thank you for everything x https://t.co/qwm2fb39nu']"
1709,"['@kinaatagh you can overcome your quick release, get harder erection and last longer to make your partner happy with… https://t.co/nzzwrtjofn']"
1710,['rt @kamidiox: happy #wincestwednesday! https://t.co/gsbmcpx8du']
1711,['rt @mabintou: house hunting only makes me realise i will have to build my forever home from scratch if i want to be 100% happy with it.']
1712,['@bigbossboze urine someone’s happy place. 😏']
1713,['rt @leahmoore: happy 68th birthday to my lovely dad. a great writer. a wonderful man. a terrifying mandrill. https://t.co/3cydawdvrb']
1714,['@adricanrana happy birthday beautiful']
1715,['so happy for flannel season']
1716,"['rt @gamestop: happy birthday to the nintendo gamecube, released 20 years ago today in north america! 20 years later, which gamecube game…']"
1717,['@noforceplease @joeldignam @michaelm_act there is a significant global demand for nh3. i would be very happy if aus… https://t.co/nlt9b9q6yn']
1718,['@shaistapervaiz happy birthday 🎂 🥳 🎉 🎈 🎁 🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈 https://t.co/jfck6womqh']
1719,['rt @roarquette: happy birthday 🎈🎈🎈🎈🎶🎶🎥🎆🍷marty love you . https://t.co/vizqnatpvy']
1720,['damar derozen is single handedly proving the midrange is still a factor.. im so happy the bulls are letting him 🔥🔥🔥🔥']
1721,"['rt @gaiamoonflayer: happy 13th birthday to my favorite sonic game ever, sonic unleashed! no matter how old i get this game will always fill…']"
1722,"[""rt @unmarshal: 🚀we're happy to introduce $marsh native lp staking on #bsc with a massive reward pool 🔑info 🟢pair: $marsh-$bnb 🟢reward pool…""]"
1723,['rt @lovelyhandon: happy legacies day😌💞 https://t.co/bybk5z3m9z']
1724,['rt @pmt67: happy birthday mom 🙋\u200d♀️🙏🥰 …🥳te amamos 🎊🎉🎂💝 https://t.co/tpqvc4itvp']
1725,['rt @nrrysflickr: happy boy :) https://t.co/lflrc5yinc']
1726,"[""rt @16bitnostalgia: also happy 9th birthday to the wii u! it might be nintendo's underdog but there are some great titles on it #nintendo…""]"
1727,['rt @aselekos: happy birthday @petter_solberg! 🇳🇴🎂🎈 https://t.co/6i8jb8r4ey']
1728,"['rt @lilysdamelio: how charli d’amelio makes me happy everyday, a thread. ✿ https://t.co/qucqzldxwc']"
1729,"['rt @sonic_hedgehog: the difference is night and day. happy 13th anniversary, sonic unleashed! https://t.co/9ki5fiz7eo']"
1730,['the white man is happy to see these scenes on the tl']
1731,['@_denisesalcedo @missionprowres i’m happy for you denise! is it going to be streaming anywhere where we can watch it?']
1732,['spotify just dropped lyrics for all songs. i’m so happy over this 😂']
1733,"[""it's not something i'm apologizing for loving ever again. happy 7th birthday bros :)""]"
1734,['rt @steveschmidtses: .@nicolledwallace doing her job is something i’ve been lucky to see up close for almost 25 years. i’m so happy everyon…']
1735,['rt @fergie_years: happy 58th birthday to utds (and the premier leagues) greatest ever goalkeeper @pschmeichel1 have a great day sir #mufc…']
1736,['@freakyboyxo @nicolette_shea goat happy birthday to her 😍❤']
1737,['@bakhti_bae ok stay happy ♥️']
1738,['rt @ayinkethemua: actually i am a yerinsnight but i’m really happy for liquorose and the way her lions show up for her! she’s a true winner…']
1739,['rt @princessi002: happy friday 😛 https://t.co/1fbwfrzt34']
1740,['rt @thecartooncrave: happy birthday mickey mouse 🥳 https://t.co/brorwykrtc']
1741,"[""got a little lost with the hair, but overall i'm happy with it! i'm glad i kept going with this to be honest. art's… https://t.co/tvv47ueaaa""]"
1742,['rt @mlbonfox: rt to wish @davidortiz a happy birthday! 🎂 https://t.co/hi8hls99ch']
1743,"['@thicctatorx that’s sensible, the only reason i’m getting mine is i’m not really happy with my phd program but stil… https://t.co/b41pscg9kt']"
1744,['dimillo’s locals season happy hour is back baby!!! monday - friday 4 to 7 pm. check out the tasty treats and drink… https://t.co/t2t38wf4ly']
1745,['rt @singhswaiman: happy gurupurab everyone. please join kirti lok at the borders this year. https://t.co/ajt1wr34ar https://t.co/uce3yl43…']
1746,['rt @christine199527: happy birthday @tomellis17 you are sweet. you are a wonderful person. you are amazing actor. you are funny. you are am…']
1747,['rt @userbfiy: this violent misogynoir comment stems from black women saying you can be happy without kids or relationship btw']
1748,['@mrwhatley happy birthday g!']
1749,['i’ve been happy and that’s all that matters💕']
1750,['you have never heard marxism explained the way pasto - #venmoitforward happy friendsgiving zac stacy… https://t.co/do3mgdfjcv']
1751,['thanks for yesterday @tigermadden !! so great to chat. happy launch day! #thewheeloftime https://t.co/cwlnjgcv0k']
1752,['rt @luimeliadaily: happy 1 year to this music video 🧡 https://t.co/olbdnkfvsp']
1753,['rt @glosstannies: just graduated 😭 omg words cant express how happy i am to have finally finished college. it really was the most terrible…']
1754,"[""rt @praziteart: spending the afternoon at the local café with this dewott,, that's wearing a suit? woooah! happy belated birthday thorium🐚…""]"
1755,['rt @jalenj10504794: @ad3rayo “congratulations i’m so happy for him” https://t.co/2mscjtcie3']
1756,['rt @yukit_10: good morning☕️🌅 happy friday🎶🎉💞 cindy prado in instagram girl👩📷🎶🎉💞 https://t.co/pucvugbsmo']
1757,['@ujjwalr1031864 happy birthday @ujjwalr1031864 part 6 out of 19 next wish on - 02:03 🥳']
1758,"['rt @sonic_hedgehog: the difference is night and day. happy 13th anniversary, sonic unleashed! https://t.co/9ki5fiz7eo']"
1759,"['rt @emishaweskedar: happy to see @hermelatv on ebs tv spreading the message of unity, hope &amp; truth. i hope your message reaches millions w…']"
1760,['rt @angelidevil2: say happy birthday 🎂 to one of your favorite big titty ladies on twitter! my cash app is $angeliquep2 https://t.co/0nnhig…']
1761,"[""rt @worldathletics: 🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇 🥈🥈🥈🥈🥈🥈 🥉🥉🥉 it's not been a bad few years... 👀 happy birthday to the one and only @allysonfelix 🥳…""]"
1762,"['rt @tameus: happy day! managed to get a complete set of the @andytho59384486 ""weather"" nft\'s on #raini this morning. staking for #nftart…']"
1763,['rt @ouji_ill: please i would trade anything and everything for ilhoon to live a genuinely happy life.... please save our boy just this once…']
1764,['rt @missbnasty: happy friday! 🤗 https://t.co/a4xs5cjeqb']
1765,['so happy @tiffanyrazo82 gave me the idea of showing our @cfisdwells teachers how thankful we are for them!… https://t.co/q5k5rs3tdd']
